Designator,Manufacturer Part Number,Comment,Footprint,Quantity
,,,,
U2,AMS1117-3.3,AMS1117-3.3,FP-AMS1117-IPC_C,1
J1,473460001,473460001,FP-473460001-MFG,1
C6,,10n,CAP_0603,1
FB1,,120R,FB_0603,1
C1,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C2,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C3,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C4,,CL10A226MO7JZNC,FP-CL10-IPC_B,1
C5,,CL10B222KB8NNNC,FP-CL10-IPC_A,1
C7,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C8,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C9,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C10,,GRM188R61C106MA73J,FP-GRM188-0_2-MFG,1
C11,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C12,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C13,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C14,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C15,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C16,,CL10A225KO8NNNC,FP-CL10-IPC_A,1
C17,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C18,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C19,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C20,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
C21,,Capacitor 100 nF +/-10% 50 V 0603,CAPC1608X90X40NL10T20,1
D1,,D_TVS_0402,D_0402,1
D2,,1N5819HW-7-F,FP-SOD123-IPC_A,1
D3,,1N5819HW-7-F,FP-SOD123-IPC_A,1
D4,,GREEN,LED_0603_GREEN,1
D5,,GREEN,LED_0603_GREEN,1
IC1,,STM32F103C8T6TR,QFP50P900X900X160-48N,1
J2,,B4P-SHF-1AA(LF)(SN),FP-B4P-SHF-1AA_LF_SN-MFG,1
J3,,B4P-SHF-1AA(LF)(SN),FP-B4P-SHF-1AA_LF_SN-MFG,1
J4,,B4P-SHF-1AA(LF)(SN),FP-B4P-SHF-1AA_LF_SN-MFG,1
J5,,MEM2067-02-180-00-A,MEM20670218000A,1
Q1,,IRF540NSTRLPBF,FP-PG-TO263-3-MFG,1
Q2,,IRF540NSTRLPBF,FP-PG-TO263-3-MFG,1
R1,,Resistor 10k +/-1% 0603 100 mW,RESC1608X55X25ML10T15,1
R2,,Resistor 120R +/-5 % 0603 0.1 W,RESC0603(1608)_L,1
R3,,Resistor 10k +/-1% 0603 100 mW,RESC1608X55X25ML10T15,1
R4,,Resistor 10k +/-1% 0603 100 mW,RESC1608X55X25ML10T15,1
R5,,Resistor 10k +/-1% 0603 100 mW,RESC1608X55X25ML10T15,1
R6,,Resistor 10k +/-1% 0603 100 mW,RESC1608X55X25ML10T15,1
U1,,BMM150,FP-BMM150-MFG,1
U3,,MPU-6050,IS-QFN-24_V,1
U4,,MCP2551-I/SN,MCHP-SN8_V,1
U?,C8734,STM32F103C8T6,STM-LQFP48_L,1
U?,,STM32F103C8T6TR,STM-LQFP48_M,1
Y1,,7M-32.000MEEQ-T,FP-7M-MFG,1
